"","Suburb","Population.density.2015","year","population","POSTCODE"
"352","CARLTON",9783.1,2013,16299,3053
"353","CARNEGIE",4856.7,2012,17323,3163
"354","CARNEGIE",4856.7,2010,16915,3163
"355","CARNEGIE",4856.7,2013,17679,3163
"356","CARNEGIE",4856.7,2006,15659,3163
"357","CARNEGIE",4856.7,2014,18059,3163
"358","CARNEGIE",4856.7,2015,18478,3163
"359","CARNEGIE",4856.7,2009,16742,3163
"360","CARNEGIE",4856.7,2008,16289,3163
"361","CARNEGIE",4856.7,2011,17047,3163
"362","CARNEGIE",4856.7,2007,16003,3163
"363","CARNEGIE",4856.7,2005,15477,3163
"364","CAROLINE SPRINGS",2704.5,2007,17936,3023
"365","CAROLINE SPRINGS",2704.5,2011,26983,3023
"366","CAROLINE SPRINGS",2704.5,2006,15993,3023
"367","CAROLINE SPRINGS",2704.5,2015,31083,3023
"368","CAROLINE SPRINGS",2704.5,2008,20007,3023
"369","CAROLINE SPRINGS",2704.5,2005,14068,3023
"370","CAROLINE SPRINGS",2704.5,2012,28349,3023
"371","CAROLINE SPRINGS",2704.5,2010,25051,3023
"372","CAROLINE SPRINGS",2704.5,2013,29536,3023
"373","CAROLINE SPRINGS",2704.5,2014,30418,3023
"374","CAROLINE SPRINGS",2704.5,2009,22419,3023
"375","CARRUM DOWNS",1034.8,2006,17550,3201
"376","CARRUM DOWNS",1034.8,2009,19058,3201
"377","CARRUM DOWNS",1034.8,2014,20781,3201
"378","CARRUM DOWNS",1034.8,2011,19682,3201
"379","CARRUM DOWNS",1034.8,2010,19499,3201
"380","CARRUM DOWNS",1034.8,2012,19871,3201
"381","CARRUM DOWNS",1034.8,2005,17122,3201
"382","CARRUM DOWNS",1034.8,2013,20446,3201
"383","CARRUM DOWNS",1034.8,2008,18342,3201
"384","CARRUM DOWNS",1034.8,2007,17898,3201
"385","CARRUM DOWNS",1034.8,2015,21014,3201
"386","CHELSEA HEIGHTS",1703,2008,5299,3196
"387","CHELSEA HEIGHTS",1703,2013,5378,3196
"388","CHELSEA HEIGHTS",1703,2005,5297,3196
"389","CHELSEA HEIGHTS",1703,2015,5442,3196
"390","CHELSEA HEIGHTS",1703,2010,5349,3196
"391","CHELSEA HEIGHTS",1703,2012,5352,3196
"392","CHELSEA HEIGHTS",1703,2006,5248,3196
"393","CHELSEA HEIGHTS",1703,2009,5333,3196
"394","CHELSEA HEIGHTS",1703,2014,5425,3196
"395","CHELSEA HEIGHTS",1703,2011,5329,3196
"396","CHELSEA HEIGHTS",1703,2007,5263,3196
"397","CHIRNSIDE PARK",440.2,2009,9387,3116
"398","CHIRNSIDE PARK",440.2,2014,9545,3116
"399","CHIRNSIDE PARK",440.2,2015,9773,3116
"400","CHIRNSIDE PARK",440.2,2006,9212,3116
"401","CHIRNSIDE PARK",440.2,2012,9421,3116
"402","CHIRNSIDE PARK",440.2,2007,9251,3116
"403","CHIRNSIDE PARK",440.2,2005,9135,3116
"404","CHIRNSIDE PARK",440.2,2010,9420,3116
"405","CHIRNSIDE PARK",440.2,2011,9422,3116
"406","CHIRNSIDE PARK",440.2,2008,9307,3116
"407","CHIRNSIDE PARK",440.2,2013,9496,3116
"408","CLAYTON",2223.1,2005,15933,3168
"409","CLAYTON",2223.1,2014,20237,3168
"410","CLAYTON",2223.1,2010,17583,3168
"411","CLAYTON",2223.1,2007,16732,3168
"412","CLAYTON",2223.1,2006,16442,3168
"413","CLAYTON",2223.1,2008,16836,3168
"414","CLAYTON",2223.1,2011,18698,3168
"415","CLAYTON",2223.1,2012,19274,3168
"416","CLAYTON",2223.1,2009,17285,3168
"417","CLAYTON",2223.1,2015,20922,3168
"418","CLAYTON",2223.1,2013,19814,3168
"419","CLAYTON SOUTH",1622,2011,12254,3169
"420","CLAYTON SOUTH",1622,2007,11068,3169
"421","CLAYTON SOUTH",1622,2010,12078,3169
"422","CLAYTON SOUTH",1622,2013,12690,3169
"423","CLAYTON SOUTH",1622,2015,12876,3169
"424","CLAYTON SOUTH",1622,2006,10961,3169
"425","CLAYTON SOUTH",1622,2009,11884,3169
"426","CLAYTON SOUTH",1622,2012,12529,3169
"427","CLAYTON SOUTH",1622,2005,10947,3169
"428","CLAYTON SOUTH",1622,2014,12858,3169
"429","CLAYTON SOUTH",1622,2008,11456,3169
"430","COBURG",3990.4,2006,24353,3058
"431","COBURG",3990.4,2013,26966,3058
"432","COBURG",3990.4,2007,24772,3058
"433","COBURG",3990.4,2009,25841,3058
"434","COBURG",3990.4,2012,26609,3058
"435","COBURG",3990.4,2015,27668,3058
"436","COBURG",3990.4,2014,27328,3058
"437","COBURG",3990.4,2011,26234,3058
"438","COBURG",3990.4,2008,25319,3058
"439","COBURG",3990.4,2005,23998,3058
"440","COBURG",3990.4,2010,26015,3058
"441","COBURG NORTH",1542.6,2011,6852,3058
"442","COBURG NORTH",1542.6,2010,6784,3058
"443","COBURG NORTH",1542.6,2012,6905,3058
"444","COBURG NORTH",1542.6,2006,6293,3058
"445","COBURG NORTH",1542.6,2013,7038,3058
"446","COBURG NORTH",1542.6,2005,6273,3058
"447","COBURG NORTH",1542.6,2014,7281,3058
"448","COBURG NORTH",1542.6,2015,7525,3058
"449","COBURG NORTH",1542.6,2007,6434,3058
"450","COBURG NORTH",1542.6,2009,6700,3058
"451","COBURG NORTH",1542.6,2008,6490,3058
"452","COLLINGWOOD",6657.3,2014,7767,3066
"453","COLLINGWOOD",6657.3,2011,6867,3066
"454","COLLINGWOOD",6657.3,2015,8435,3066
"455","COLLINGWOOD",6657.3,2007,5939,3066
"456","COLLINGWOOD",6657.3,2012,7124,3066
"457","COLLINGWOOD",6657.3,2006,5761,3066
"458","COLLINGWOOD",6657.3,2005,5653,3066
