"","POSTCODE","Suburb","Top country of birth","rang0n4","rang5n9","rang10n14","rang15n19","rang20n24","rang25n44","rang45n64","rang65n69","rang70n74","rang75n79","rang80n84","above85","total","Born overseas, %","Born in non-English speaking country, %","Top country of birth__1","Top country of birth, persons","Top country of birth, %","Children","Adult","Elderly"
"92",3054,"Princes Hill","England",4.2,4.1,3.8,4.6,10.6,33.7,22,6.2,3.8,2.4,1.7,2.8,2199,25.3,16.1,"England",122,3.1,12.1,70.9,16.9
"93",3054,"Carlton North","England",4.4,3.1,2.6,2.6,13.9,45.1,18.5,3.6,1.8,1.7,1.5,1.1,6644,26.5,15.7,"England",464,4,10.1,80.1,9.7
"94",3055,"Brunswick West","Italy",5.4,4.1,3.4,3.5,10.4,41.4,19.8,3.1,2.7,2.5,1.8,1.9,13959,36.4,30,"Italy",1164,4.7,12.9,75.1,12
"95",3056,"Brunswick","Italy",5.5,3.2,2.3,3.1,11.5,46.7,17.5,2.6,2.4,2.2,1.6,1.5,24433,34.8,26.5,"Italy",1864,4.4,11,78.8,10.3
"96",3057,"Brunswick East","Italy",5,3.9,3.1,2.8,9.4,48.1,17,2.7,2.5,2.4,1.8,1.4,9114,33.9,24.8,"Italy",1036,6.4,12,77.3,10.8
"97",3058,"Coburg","Italy",7,5.4,4.3,4.6,8.7,36.4,21,3,3.1,2.7,2.1,1.7,26503,35.9,30.6,"Italy",3482,7.4,16.7,70.7,12.6
"98",3058,"Coburg North","Italy",6.8,5.5,4.6,4.3,7.8,33.4,20.8,3.6,3.7,3.5,2.7,3.4,6923,38.7,32.8,"Italy",984,8.1,16.9,66.3,16.9
"99",3059,"Greenvale","Italy",4.7,6.6,8.3,9.9,8.8,25.1,29.1,3.3,2.1,1.1,0.5,0.4,12344,31,28.6,"Italy",1458,6.4,19.6,72.9,7.4
"100",3060,"Fawkner","Italy",7.1,6.9,6.1,5.9,6.5,28.1,18.8,3.7,4.3,4.8,4.3,3.4,13316,49.6,45.7,"Italy",3314,14,20.1,59.3,20.5
"101",3061,"Campbellfield","Iraq",7.8,6.7,7.2,6.9,7.8,27.9,19.7,5.7,4.4,3.1,1.7,1.1,5730,54.9,52.4,"Iraq",1372,13.7,21.7,62.3,16
"102",3064,"Roxburgh Park","Iraq",8.6,9.7,9.6,8.9,8.4,30.6,19.9,1.8,1,0.6,0.5,0.3,20536,46,43.5,"Iraq",4664,12.9,27.9,67.8,4.2
"103",3065,"Fitzroy","Vietnam",5.2,3.6,2.4,2.8,9.1,49.2,18.6,3,2.1,1.8,1.3,0.9,10535,37.4,25.6,"Vietnam",796,4.8,11.2,79.7,9.1
"104",3066,"Collingwood","Vietnam",5.6,3.7,3.2,2.8,7.6,51.2,18.1,2.5,1.7,1.5,1,1.1,7090,37.7,27.8,"Vietnam",796,7.1,12.5,79.7,7.8
"105",3068,"Fitzroy North","England",5.7,4.5,3,3.3,7.7,42.4,21.6,3.6,2.6,2.3,1.6,1.5,12330,27.6,16.5,"England",996,4.6,13.2,75,11.6
"106",3068,"Clifton Hill","England",5.7,4.7,3.4,3.6,7.8,40.6,25.3,3.3,1.9,1.7,1.1,0.9,6297,23.3,12.8,"England",484,4.4,13.8,77.3,8.9
"107",3070,"Northcote","Greece",6.3,5.6,4.2,3.8,6.5,39.3,21.9,3.2,2.8,2.5,1.9,1.9,24316,27.7,19.1,"Greece",2476,5.7,16.1,71.5,12.3
"108",3072,"Preston","Italy",6.6,5.5,4.4,4.5,7.9,36.6,21.5,3.4,3.2,2.5,2,1.9,31514,37.2,32,"Italy",2640,4.8,16.5,70.5,13
