Suburb,Population density 2015,year,population
HEATHCOTE,5.6,2005,3966
KYNETON,17,2005,8194
WOODEND,32.1,2005,6058
BENDIGO REGION - NORTH,3,2005,4060
LODDON,1.1,2005,7606
BANNOCKBURN,30.4,2005,3440
GOLDEN PLAINS - SOUTH,4.5,2005,5494
WINCHELSEA,6.2,2005,5487
BELMONT,1516.2,2005,13683
CORIO - NORLANE,330.1,2005,25768
GEELONG,1011.2,2005,12027
GEELONG WEST - HAMLYN HEIGHTS,615.7,2005,18462
GROVEDALE,399.4,2005,16867
HIGHTON,542.1,2005,17313
LARA,29.8,2005,14417
LEOPOLD,429.8,2005,8965
NEWCOMB - MOOLAP,344,2005,14663
NEWTOWN (VIC.),1793,2005,9807
NORTH GEELONG - BELL PARK,678.9,2005,13801
CLIFTON SPRINGS,197.7,2005,10945
LORNE - ANGLESEA,10.8,2005,4818
OCEAN GROVE - BARWON HEADS,134.5,2005,16728
PORTARLINGTON,99.5,2005,5716
QUEENSCLIFF,66.7,2005,4101
TORQUAY,144.3,2005,11292
ALEXANDRA,3,2005,6267
EUROA,2.9,2005,6047
KILMORE - BROADFORD,28.6,2005,10237
MANSFIELD (VIC.),2.2,2005,7408
NAGAMBIE,2.9,2005,3369
SEYMOUR,80,2005,6670
SEYMOUR REGION,2.6,2005,4197
UPPER YARRA VALLEY,0.3,2005,184
YEA,2.3,2005,3538
BENALLA,32.4,2005,10306
BENALLA REGION,1.6,2005,3457
RUTHERGLEN,7.8,2005,3572
WANGARATTA,315.3,2005,17223
WANGARATTA REGION,2.5,2005,9385
BEECHWORTH,11.8,2005,4184
BRIGHT - MOUNT BEAUTY,1.8,2005,7940
CHILTERN - INDIGO VALLEY,5.6,2005,2957
MYRTLEFORD,8.2,2005,4734
TOWONG,0.9,2005,6091
WEST WODONGA,98.4,2005,14126
WODONGA,84,2005,19471
YACKANDANDAH,6.3,2005,4261
DROUIN,47.1,2005,10472
MOUNT BAW BAW REGION,2.1,2005,5815
TRAFALGAR (VIC.),15,2005,5990
WARRAGUL,50.9,2005,14959
