POSTCODE,year,occurence
3701,2012,13
3704,2012,1
3705,2012,5
3707,2012,144
3708,2012,1
3709,2012,11
3711,2012,13
3712,2012,16
3713,2012,91
3714,2012,150
3715,2012,14
3717,2012,149
3718,2012,7
3719,2012,25
3720,2012,40
3722,2012,194
3723,2012,140
3724,2012,0
3725,2012,14
3726,2012,9
3727,2012,10
3728,2012,14
3730,2012,388
3732,2012,8
3733,2012,2
3735,2012,6
3737,2012,208
3738,2012,6
3739,2012,7
3740,2012,10
3741,2012,143
3744,2012,9
3746,2012,17
3747,2012,150
3749,2012,40
3750,2012,218
3751,2012,17
3752,2012,"1,212"
3753,2012,71
3754,2012,"1,297"
3755,2012,16
3756,2012,540
3757,2012,368
3758,2012,92
3759,2012,20
3760,2012,4
3761,2012,22
3762,2012,11
3763,2012,53
3764,2012,468
3765,2012,210
3766,2012,21
3767,2012,44
3770,2012,95
3775,2012,117
3777,2012,360
3778,2012,41
3779,2012,17
3781,2012,193
3782,2012,304
3783,2012,104
3785,2012,10
3786,2012,23
3787,2012,32
3788,2012,64
3789,2012,9
3791,2012,39
3792,2012,134
3793,2012,147
3795,2012,33
3796,2012,279
3797,2012,205
3799,2012,224
3802,2012,"1,244"
3803,2012,832
3804,2012,236
3805,2012,"3,459"
3806,2012,"1,996"
3807,2012,402
3808,2012,68
3809,2012,344
3810,2012,"3,324"
3812,2012,67
3813,2012,46
3814,2012,80
3815,2012,99
3816,2012,161
3818,2012,821
3820,2012,"1,218"
3821,2012,93
3822,2012,33
3823,2012,90
3824,2012,376
3825,2012,"2,649"
3831,2012,58
3833,2012,55
3835,2012,43
3840,2012,"3,477"
3842,2012,537
3844,2012,"3,532"
3847,2012,150
3850,2012,"2,123"
3851,2012,434
3852,2012,0
3854,2012,46
3856,2012,26
3857,2012,12
3858,2012,316
3859,2012,30
3860,2012,406
3862,2012,98
3864,2012,9
3865,2012,6
3869,2012,54
3870,2012,68
3871,2012,117
3873,2012,12
3874,2012,53
3875,2012,"1,957"
3878,2012,21
3880,2012,128
3882,2012,25
3885,2012,67
3886,2012,18
3887,2012,57
3888,2012,271
3889,2012,16
3890,2012,41
